año,mes,tavg_mean,tmin_mean,tmax_mean,prcp_sum,wspd_mean,pres_mean,dias_lluvia,dias_registro,fecha,prcp_3m,spi_3
1990,3,27.920137781469677,22.70617401319726,33.455343775039246,14.0,6.063763292475038,1010.9570570570572,2,31,1990-03-01,24.9,-1.294772525160032
1990,4,28.326813269621287,22.55455125470972,32.58621248197049,44.0,5.988205759101919,1010.745,3,30,1990-04-01,58.0,-1.0421507745830594
1990,5,28.054806918631805,22.459292780951767,32.69631491143463,41.3,7.040860215053763,1011.62688172043,8,31,1990-05-01,99.3,-0.5885651204480963
1990,6,29.01784325872451,22.81705110943456,34.49058447927592,0.0,8.018666666666666,1012.2233333333334,0,30,1990-06-01,85.3,-0.1754174614298054
1990,7,28.509032258064515,22.30483870967742,34.14903225806452,10.7,11.233548387096777,1012.4174193548388,5,31,1990-07-01,52.0,-0.19122175240888475
1990,8,29.83225806451613,23.47258064516129,35.685483870967744,11.1,10.692959770114944,1011.8156989247312,4,31,1990-08-01,21.799999999999997,-0.33233862245855467
1990,9,30.117272727272727,23.203030303030303,36.148371824199465,1.8,9.334751619755142,1011.0869500372856,3,30,1990-09-01,23.599999999999998,-0.28797936173498234
1990,10,28.07790757269302,21.891471517688714,33.53950326765928,10.6,7.007096774193548,1010.9167741935483,3,31,1990-10-01,23.5,-1.2770540457714112
1990,11,27.227895379235814,22.002971644201505,31.8726448459441,31.1,6.208666666666667,1010.9373333333334,5,30,1990-11-01,43.5,-1.2253439606587708
1990,12,27.06705206576843,21.98325641526661,31.63677227851543,49.3,6.147096774193548,1010.5896774193548,4,31,1990-12-01,91.0,-0.8306390470053425
1991,1,28.241935483870968,22.451612903225808,33.19462365591398,7.1,6.186486486486486,1010.9416216216216,5,31,1991-01-01,87.49999999999999,-0.655008865742407
1991,2,28.541071428571428,22.1375,32.964337993946906,107.2,6.405029585798816,1010.685798816568,7,28,1991-02-01,163.6,0.07810556722400919
1991,3,28.24357135067505,22.701064844493448,33.95066635568441,56.2,6.063763292475038,1010.9570570570572,5,31,1991-03-01,170.5,0.006320118329153167
1991,4,27.712333333333333,22.612,32.6628768209941,0.0,5.988205759101919,1010.745,0,30,1991-04-01,163.4,-0.22494501588384253
1991,5,28.061827956989244,22.563440860215056,33.72974033979865,43.5,7.040860215053763,1011.62688172043,5,31,1991-05-01,99.7,-0.5853980681653849
1991,6,29.182170222155374,23.65453879608673,33.76126104183661,0.5,8.018666666666666,1012.2233333333334,1,30,1991-06-01,44.0,-0.6204303053715079
1991,7,28.70345506111258,22.49558737815295,34.51031530286875,6.0,11.233548387096777,1012.4174193548388,4,31,1991-07-01,50.0,-0.21989547844204474
1991,8,28.809380009857357,22.585022807159547,34.17600098226702,1.0,10.692959770114944,1011.8156989247312,1,31,1991-08-01,7.5,-0.9889690726354923
1991,9,29.241666666666667,23.331666666666667,35.20130629713394,34.9,9.334751619755142,1011.0869500372856,4,30,1991-09-01,41.9,0.22332671381708605
1991,10,29.378225806451614,22.775,33.94195805568556,25.200000000000003,7.007096774193548,1010.9167741935483,4,31,1991-10-01,61.1,-0.582637708771413
1991,11,27.398409078472515,23.16250830938116,31.082962563231675,2.0,6.208666666666667,1010.9373333333334,1,30,1991-11-01,62.1,-1.0290883188084778
1991,12,28.02507050636973,22.59287712247713,32.42243166422432,0.3,6.147096774193548,1010.5896774193548,1,31,1991-12-01,27.500000000000004,-1.2673824141643553
1992,1,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216216,0,31,1992-01-01,2.3,-1.856441058178988
1992,2,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,0,29,1992-02-01,0.3,-1.8957039687193848
1992,3,27.954045204259987,22.6485657348525,33.25677617103611,0.0,6.063763292475038,1010.9570570570572,0,31,1992-03-01,0.0,-1.6067550689692431
1992,4,27.91053237765258,22.61826882064582,33.07970537040904,0.0,5.988205759101919,1010.745,0,30,1992-04-01,0.0,-1.6067550689692431
1992,5,28.82380192771897,23.393926580332117,33.18020078201597,0.0,7.040860215053763,1011.62688172043,0,31,1992-05-01,0.0,-1.6067550689692431
1992,6,28.395359512931496,23.061043074132854,33.58614695414444,0.5,8.018666666666666,1012.2233333333334,1,30,1992-06-01,0.5,-1.856648608352002
1992,7,28.71185986367863,22.71914045161159,34.19503299444866,0.0,11.233548387096777,1012.4174193548388,0,31,1992-07-01,0.5,-1.3666511038227511
1992,8,30.52065145407724,23.778943873832898,35.713002278961206,2.0,10.692959770114944,1011.8156989247312,1,31,1992-08-01,2.5,-1.3655855457360988
1992,9,29.436039844818207,23.77600830088617,35.43858852438202,3.0,9.334751619755142,1011.0869500372856,2,30,1992-09-01,5.0,-1.1794877473777898
1992,10,29.41670981148309,22.95433657141064,34.34428028085131,83.1,7.007096774193548,1010.9167741935483,4,31,1992-10-01,88.1,-0.18963579227795335
1992,11,27.793333333333333,22.6,32.05388888888889,63.99999999999999,6.208666666666667,1010.9373333333334,7,30,1992-11-01,150.1,-0.29491868754401335
1992,12,27.20967741935484,21.820967741935487,31.444955373385888,115.6,6.147096774193548,1010.5896774193548,6,31,1992-12-01,262.7,0.06065834869768785
1993,1,27.814019851116623,22.0136476426799,33.059677419354834,29.8,6.186486486486486,1010.9416216216216,7,31,1993-01-01,209.4,0.05349590008629305
1993,2,27.80184453245812,22.178057371139605,32.61961388054952,107.7,6.405029585798816,1010.685798816568,3,28,1993-02-01,253.1,0.48558066853308124
1993,3,26.5,21.38064516129032,31.62741935483871,113.0,6.063763292475038,1010.9570570570572,11,31,1993-03-01,250.5,0.4312859012385142
1993,4,27.61833333333333,22.148333333333333,32.906666666666666,67.1,5.988205759101919,1010.745,8,30,1993-04-01,287.79999999999995,0.408461290195408
1993,5,27.47258064516129,22.6,32.80806451612903,51.4,7.040860215053763,1011.62688172043,11,31,1993-05-01,231.5,0.21241696042537322
1993,6,29.026749346734505,22.281373812921743,33.88976864584547,3.3,8.018666666666666,1012.2233333333334,2,30,1993-06-01,121.8,0.10663537311710816
1993,7,28.43071762121621,22.00937918348929,33.587746192832086,63.8,11.233548387096777,1012.4174193548388,6,31,1993-07-01,118.5,0.5294560565443429
1993,8,29.69441687344913,22.88349875930521,34.876783179978055,0.0,10.692959770114944,1011.8156989247312,0,31,1993-08-01,67.1,0.7417395040959245
1993,9,29.964127860321405,22.98501791758584,36.09570527484348,0.8,9.334751619755142,1011.0869500372856,2,30,1993-09-01,64.6,0.6893628135625436
1993,10,28.023873113730083,22.48252398494835,34.04102138920532,84.1,7.007096774193548,1010.9167741935483,5,31,1993-10-01,84.89999999999999,-0.2324622432256877
1993,11,26.035797975652454,21.91394216373311,32.48828028051925,63.0,6.208666666666667,1010.9373333333334,5,30,1993-11-01,147.89999999999998,-0.3100761496489423
1993,12,27.08614153454869,22.10083473944596,31.957824166924595,139.7,6.147096774193548,1010.5896774193548,7,31,1993-12-01,286.79999999999995,0.15768526405374925
1994,1,27.07763498058022,21.902757328937344,32.704794319503726,26.4,6.186486486486486,1010.9416216216216,6,31,1994-01-01,229.1,0.13921373745773605
1994,2,26.830007294817623,21.80001037858781,32.35994605943981,42.1,6.405029585798816,1010.685798816568,5,28,1994-02-01,208.19999999999996,0.295589544139933
1994,3,26.92096774193548,22.330645161290324,31.86311910159587,181.7,6.063763292475038,1010.9570570570572,11,31,1994-03-01,250.19999999999996,0.42986254635983
1994,4,27.696666666666665,22.69333333333333,32.47475813580505,145.9,5.988205759101919,1010.745,8,30,1994-04-01,369.69999999999993,0.736385266003204
1994,5,27.567741935483877,22.216129032258067,33.53631602218079,38.6,7.040860215053763,1011.62688172043,8,31,1994-05-01,366.19999999999993,0.771401708188812
1994,6,27.782754962695588,22.318525554717283,34.3502785417395,1.8,8.018666666666666,1012.2233333333334,3,30,1994-06-01,186.29999999999998,0.4906933659659519
1994,7,28.174360344595232,21.903298654494368,34.67521146847711,1.5,11.233548387096777,1012.4174193548388,3,31,1994-07-01,41.89999999999997,-0.3433311592257716
1994,8,28.76337350322829,22.449852353203944,34.85907649348437,2.0,10.692959770114944,1011.8156989247312,1,31,1994-08-01,5.299999999999971,-1.1381515130191076
1994,9,29.115,22.596666666666668,35.15280778029071,12.4,9.334751619755142,1011.0869500372856,3,30,1994-09-01,15.899999999999972,-0.5787412453076888
1994,10,26.991935483870968,21.482258064516127,32.54965662493733,206.2,7.007096774193548,1010.9167741935483,6,31,1994-10-01,220.59999999999997,1.1095142439089274
1994,11,26.82,22.03,31.62833333333333,117.7,6.208666666666667,1010.9373333333334,9,30,1994-11-01,336.29999999999995,0.6899653785489015
1994,12,27.57811059907834,22.867511520737327,32.64147465437788,41.4,6.147096774193548,1010.5896774193548,3,31,1994-12-01,365.3,0.4446770142704022
1995,1,28.929953917050693,22.658294930875577,34.684331797235025,3.3,6.186486486486486,1010.9416216216216,2,31,1995-01-01,162.39999999999998,-0.17499877351835272
1995,2,28.763392857142858,22.467857142857145,34.964732142857144,55.0,6.405029585798816,1010.685798816568,4,28,1995-02-01,99.69999999999996,-0.3170029008314369
1995,3,28.01584454248516,22.173202030303543,33.931965176568326,43.8,6.063763292475038,1010.9570570570572,6,31,1995-03-01,102.09999999999997,-0.4686123249578382
1995,4,27.341404317020345,22.57576917608611,33.12193125309544,41.9,5.988205759101919,1010.745,8,30,1995-04-01,140.69999999999996,-0.369458256391381
1995,5,27.59032258064516,22.70967741935484,32.44408602150538,13.0,7.040860215053763,1011.62688172043,6,31,1995-05-01,98.69999999999996,-0.593328653165404
1995,6,28.243333333333336,22.22083333333333,33.827777777777776,8.7,8.018666666666666,1012.2233333333334,3,30,1995-06-01,63.599999999999966,-0.38443773012660865
1995,7,29.032258064516128,22.731451612903225,34.56354945143383,5.8,11.233548387096777,1012.4174193548388,4,31,1995-07-01,27.49999999999997,-0.6010480088844987
1995,8,29.459742380664903,22.515495215968738,34.666471000392576,2.0,10.692959770114944,1011.8156989247312,1,31,1995-08-01,16.49999999999997,-0.5341562916833266
1995,9,29.918496427451263,24.028464883519224,35.82538927014863,2.0,9.334751619755142,1011.0869500372856,1,30,1995-09-01,9.799999999999972,-0.8737914515182231
1995,10,28.770810012357487,22.533309748770915,34.682137859620795,85.1,7.007096774193548,1010.9167741935483,5,31,1995-10-01,89.09999999999997,-0.17643209029420054
1995,11,26.723202007765444,22.26632144069429,31.5493944264356,67.30000000000001,6.208666666666667,1010.9373333333334,5,30,1995-11-01,154.39999999999998,-0.26564964376947586
1995,12,27.221685976957023,21.845015090523862,31.96527954031048,97.0,6.147096774193548,1010.5896774193548,3,31,1995-12-01,249.39999999999998,0.00495802846705763
1996,1,27.063150227148498,21.367918589287275,33.67220559351785,84.8,6.186486486486486,1010.9416216216216,6,31,1996-01-01,249.09999999999997,0.22144165857886805
1996,2,27.548208313529287,20.32197062244585,32.79027585333868,18.3,6.405029585798816,1010.685798816568,2,29,1996-02-01,200.09999999999997,0.25854118247801383
1996,3,27.22209677419355,21.763709677419357,32.233605067243126,26.1,6.063763292475038,1010.9570570570572,3,31,1996-03-01,129.19999999999996,-0.2628580374542307
1996,4,28.15583333333333,22.459166666666665,33.31773211889631,9.4,5.988205759101919,1010.745,2,30,1996-04-01,53.799999999999976,-1.0848801086699797
1996,5,27.751612903225805,22.432258064516127,34.157784011220194,39.4,7.040860215053763,1011.62688172043,6,31,1996-05-01,74.89999999999998,-0.7962208832155312
1996,6,27.806666666666665,21.782666666666668,33.601834035508176,53.5,8.018666666666666,1012.2233333333334,5,30,1996-06-01,102.29999999999998,-0.035665969778416844
1996,7,27.73709677419355,22.25709677419355,33.718709677419355,1.6,11.233548387096777,1012.4174193548388,3,31,1996-07-01,94.49999999999997,0.3073658971037797
1996,8,29.43064516129032,22.09193548387097,34.93863909138435,0.6,10.692959770114944,1011.8156989247312,2,31,1996-08-01,55.699999999999974,0.5309853670677009
1996,9,29.796899007376428,23.227605457632627,35.06894260096903,7.1,9.334751619755142,1011.0869500372856,2,30,1996-09-01,9.299999999999972,-0.901849289215459
1996,10,27.39603013433963,21.878214984533024,33.589979205582495,98.1,7.007096774193548,1010.9167741935483,6,31,1996-10-01,105.79999999999997,0.032614433334780465
1996,11,27.453333333333333,22.46833333333333,31.51640200219317,10.4,6.208666666666667,1010.9373333333334,4,30,1996-11-01,115.59999999999998,-0.5485952649432532
1996,12,27.416129032258063,21.401612903225807,33.3545905707196,26.1,6.147096774193548,1010.5896774193548,5,31,1996-12-01,134.59999999999997,-0.5608951817668987
1997,1,27.061290322580643,21.779032258064515,31.795454390876124,113.3,6.186486486486486,1010.9416216216216,7,31,1997-01-01,149.79999999999995,-0.24355256033192588
1997,2,27.602678571428573,22.11875,33.50681568083796,30.6,6.405029585798816,1010.685798816568,7,28,1997-02-01,169.99999999999997,0.11153729460246195
1997,3,28.568548387096776,22.96532258064516,34.65744408163181,86.4,6.063763292475038,1010.9570570570572,6,31,1997-03-01,230.29999999999998,0.33298553071390524
1997,4,28.298333333333336,22.67,34.026666666666664,32.0,5.988205759101919,1010.745,6,30,1997-04-01,149.0,-0.3151603111036251
1997,5,28.029506310381887,22.469660830720738,33.62509423186721,1.0,7.040860215053763,1011.62688172043,1,31,1997-05-01,119.39999999999999,-0.4373024639998269
1997,6,27.53666666666667,22.258333333333333,32.6624551043002,9.1,8.018666666666666,1012.2233333333334,3,30,1997-06-01,42.09999999999999,-0.6468906225907541
1997,7,28.36415770609319,22.11362007168459,33.97795911792142,0.8,11.233548387096777,1012.4174193548388,2,31,1997-07-01,10.899999999999986,-1.004088402606439
1997,8,30.570812408409136,23.86379826392405,35.65827053617159,0.0,10.692959770114944,1011.8156989247312,0,31,1997-08-01,9.899999999999986,-0.8477019897311193
1997,9,30.27833333333333,23.73333333333333,36.56861111111111,8.1,9.334751619755142,1011.0869500372856,3,30,1997-09-01,8.899999999999986,-0.9248335535376063
1997,10,30.329901102081564,23.88681713507066,35.609306473296854,3.0,7.007096774193548,1010.9167741935483,1,31,1997-10-01,11.099999999999985,-1.5032176885150013
1997,11,28.44314642319121,23.103588303997803,33.788822636160084,5.1,6.208666666666667,1010.9373333333334,1,30,1997-11-01,16.199999999999985,-1.5077612904719633
1997,12,29.159940628818283,23.474532075090654,33.56157144917056,0.5,6.147096774193548,1010.5896774193548,1,31,1997-12-01,8.599999999999985,-1.3646891825849226
1998,1,30.46741935483871,23.831935483870968,34.69834048004751,11.9,6.186486486486486,1010.9416216216216,1,31,1998-01-01,17.499999999999986,-1.4882254243574655
1998,2,30.656259791005223,24.13347569570859,34.04495653511,1.0,6.405029585798816,1010.685798816568,1,28,1998-02-01,13.399999999999986,-1.3852791304720349
1998,3,28.498387096774195,23.796774193548387,34.415787479001644,14.2,6.063763292475038,1010.9570570570572,3,31,1998-03-01,27.099999999999987,-1.2639922188707642
1998,4,27.826206851342917,22.95009344080654,32.32153927386765,38.1,5.988205759101919,1010.745,2,30,1998-04-01,53.29999999999999,-1.0900321837808862
1998,5,28.493453013959925,23.338093396618746,33.556917460375324,2.0,7.040860215053763,1011.62688172043,1,31,1998-05-01,54.29999999999999,-0.998475366242365
1998,6,28.53873786867849,22.60594720713893,34.416368147778456,5.0,8.018666666666666,1012.2233333333334,3,30,1998-06-01,45.099999999999994,-0.6054652501827783
1998,7,28.353115227279545,22.41818980891096,33.920177255378384,4.5,11.233548387096777,1012.4174193548388,4,31,1998-07-01,11.499999999999986,-0.986336760727816
1998,8,29.105591397849462,22.98172043010753,35.234475533890055,0.0,10.692959770114944,1011.8156989247312,0,31,1998-08-01,9.499999999999986,-0.8699553017480632
1998,9,29.54222222222222,22.550555555555555,35.46142857142857,1.6,9.334751619755142,1011.0869500372856,3,30,1998-09-01,6.099999999999985,-1.1012892284131741
1998,10,29.18479262672811,22.89032258064516,34.933280598270514,72.6,7.007096774193548,1010.9167741935483,6,31,1998-10-01,74.19999999999997,-0.382510437350067
1998,11,26.61738095238095,22.196666666666665,31.683619047619047,123.0,6.208666666666667,1010.9373333333334,7,30,1998-11-01,197.2,0.003141623257513426
1998,12,26.71702508960573,22.205913978494625,31.18057347670251,71.9,6.147096774193548,1010.5896774193548,9,31,1998-12-01,267.5,0.08037207235692391
1999,1,27.110500457563244,22.31423195334257,31.03583198652924,0.0,6.186486486486486,1010.9416216216216,0,31,1999-01-01,194.89999999999998,-0.013036461625815185
1999,2,27.49322407671951,21.75811855285145,32.343133029459764,68.1,6.405029585798816,1010.685798816568,2,28,1999-02-01,140.0,-0.05325617430802437
1999,3,27.456451612903223,22.14462365591398,31.862691704442025,41.6,6.063763292475038,1010.9570570570572,5,31,1999-03-01,109.69999999999999,-0.40800902255653104
1999,4,27.114124221452265,22.141484947039583,32.385768456803014,0.5,5.988205759101919,1010.745,1,30,1999-04-01,110.19999999999999,-0.5860893173055141
1999,5,27.299082279727443,22.286556991395702,32.88850082594873,4.9,7.040860215053763,1011.62688172043,2,31,1999-05-01,46.999999999999986,-1.0773979611744784
1999,6,27.616666666666667,21.9,32.69520395835761,0.6,8.018666666666666,1012.2233333333334,2,30,1999-06-01,5.999999999999986,-1.4898748443088405
1999,7,28.490322580645163,22.32903225806452,34.04516129032258,0.0,11.233548387096777,1012.4174193548388,0,31,1999-07-01,5.499999999999986,-1.1797170350118207
1999,8,29.17258064516129,22.746774193548383,35.68859530950119,0.6,10.692959770114944,1011.8156989247312,2,31,1999-08-01,1.1999999999999857,-1.4872621483630841
1999,9,27.80277777777778,22.258888888888887,33.500138888888884,1.8,9.334751619755142,1011.0869500372856,3,30,1999-09-01,2.3999999999999857,-1.3891350004204552
1999,10,27.095698924731185,21.333333333333336,32.343951612903226,170.4,7.007096774193548,1010.9167741935483,10,31,1999-10-01,172.79999999999998,0.7166382514477125
1999,11,26.65041666666667,22.379166666666663,30.975,20.8,6.208666666666667,1010.9373333333334,6,30,1999-11-01,193.0,-0.021619917868765166
1999,12,27.17217741935484,22.271774193548385,31.090322580645164,179.5,6.147096774193548,1010.5896774193548,8,31,1999-12-01,370.7,0.4630329789422694
2000,1,27.496236559139785,22.266129032258064,32.35806451612903,42.8,6.186486486486486,1010.9416216216216,4,31,2000-01-01,243.09999999999997,0.1972400431373889
2000,2,26.360919540229887,21.26206896551724,32.68062422030432,183.4,6.405029585798816,1010.685798816568,8,29,2000-02-01,405.7,1.0035289188462742
2000,3,26.58010752688172,21.61720430107527,31.64322580645161,213.6,6.063763292475038,1010.9570570570572,12,31,2000-03-01,439.79999999999995,1.1775995032459905
2000,4,26.538888888888888,21.685555555555556,31.53533333333333,55.9,5.988205759101919,1010.745,10,30,2000-04-01,452.9,1.0263895234212663
2000,5,27.17258064516129,22.34354838709677,32.42106591420363,42.9,7.040860215053763,1011.62688172043,17,31,2000-05-01,312.4,0.5665250785584529
2000,6,27.981333333333332,22.21333333333333,34.02676864584547,18.3,8.018666666666666,1012.2233333333334,8,30,2000-06-01,117.1,0.07381111121233368
2000,7,28.787419354838708,22.348387096774196,34.675646225627375,4.0,11.233548387096777,1012.4174193548388,3,31,2000-07-01,65.2,-0.01641444078952943
2000,8,29.14032258064516,22.404838709677417,35.44516129032258,17.0,10.692959770114944,1011.8156989247312,8,31,2000-08-01,39.3,0.17391320520729134
2000,9,28.15833333333333,22.10666666666667,34.223333333333336,94.2,9.334751619755142,1011.0869500372856,10,30,2000-09-01,115.2,1.4455894093235437
2000,10,28.29086021505376,22.79032258064516,33.46397849462366,48.6,7.007096774193548,1010.9167741935483,7,31,2000-10-01,159.8,0.5985149423929199
2000,11,27.22377777777778,22.99833333333333,31.904888888888888,95.6,6.208666666666667,1010.9373333333334,8,30,2000-11-01,238.4,0.23091207804715855
2000,12,27.107096774193547,22.10967741935484,32.44741935483871,61.1,6.147096774193548,1010.5896774193548,8,31,2000-12-01,205.29999999999998,-0.1924091326853656
2001,1,28.020967741935483,21.67419354838709,33.593548387096774,8.399999999999999,6.186486486486486,1010.9416216216216,5,31,2001-01-01,165.1,-0.1607696462526697
2001,2,29.43035714285714,22.294642857142858,34.93035714285714,11.9,6.405029585798816,1010.685798816568,4,28,2001-02-01,81.4,-0.46110129361311053
2001,3,27.856451612903225,22.098387096774196,33.358064516129026,129.6,6.063763292475038,1010.9570570570572,15,31,2001-03-01,149.9,-0.122337634640016
2001,4,28.60666666666667,22.641666666666666,34.190000000000005,41.9,5.988205759101919,1010.745,7,30,2001-04-01,183.4,-0.10706074642192566
2001,5,28.38064516129032,22.488709677419354,33.45967741935484,74.6,7.040860215053763,1011.62688172043,17,31,2001-05-01,246.1,0.2814126225512527
2001,6,28.53,22.683333333333334,33.47,61.4,8.018666666666666,1012.2233333333334,10,30,2001-06-01,177.9,0.44620630524041444
2001,7,28.88387096774193,22.34032258064516,35.15483870967742,38.6,11.233548387096777,1012.4174193548388,13,31,2001-07-01,174.6,0.9588985181749281
2001,8,29.99516129032258,24.1,35.70645161290323,3.2,10.692959770114944,1011.8156989247312,4,31,2001-08-01,103.2,1.2906222704920607
2001,9,29.27833333333333,22.48333333333333,35.913333333333334,37.3,9.334751619755142,1011.0869500372856,9,30,2001-09-01,79.1,0.9350576922169697
2001,10,30.096774193548388,23.991935483870968,35.71774193548387,58.9,7.007096774193548,1010.9167741935483,6,31,2001-10-01,99.4,-0.04507769336536198
2001,11,27.721666666666668,22.65666666666667,33.28333333333333,162.6,6.208666666666667,1010.9373333333334,14,30,2001-11-01,258.8,0.33492538558159013
2001,12,27.84032258064516,22.88225806451613,32.811290322580646,91.7,6.147096774193548,1010.5896774193548,12,31,2001-12-01,313.2,0.258776574162271
2002,1,29.09193548387097,22.87258064516129,34.096774193548384,29.5,6.186486486486486,1010.9416216216216,7,31,2002-01-01,283.8,0.35446204441073426
2002,2,28.744642857142857,22.4,34.346428571428575,122.2,6.405029585798816,1010.685798816568,8,28,2002-02-01,243.4,0.4465105151076409
2002,3,28.83870967741936,23.003225806451614,34.64354838709678,194.5,6.063763292475038,1010.9570570570572,11,31,2002-03-01,346.2,0.8404755398515797
